OTUID	D0	D10AR1	D10AR2	D10AR3	D10C50R1	D10C50R2	D10C50R3	D10C95R1	D10C95R2	D10C95R3	D10D100R1	D10D100R2	D10D100R3	D10H50R1	D10H50R2	D10H50R3	D10H95R1	D10H95R2	D10H95R3	D2AR1	D2AR2	D2AR3	D2C50R1	D2C50R2	D2C50R3	D2C95R1	D2C95R2	D2C95R3	D2D100R1	D2D100R2	D2D100R3	D2H50R1	D2H50R2	D2H50R3	D2H95R1	D2H95R2	D2H95R3	D4AR1	D4AR2	D4AR3	D4C50R1	D4C50R2	D4C50R3	D4C95R1	D4C95R2	D4C95R3	D4D100R1	D4D100R2	D4D100R3	D4H50R1	D4H50R2	D4H50R3	D4H95R1	D4H95R2	D4H95R3	D6AR1	D6AR2	D6AR3	D6C50R1	D6C50R2	D6C50R3	D6C95R1	D6C95R2	D6C95R3	D6D100R1	D6D100R2	D6D100R3	D6H50R1	D6H50R2	D6H50R3	D6H95R1	D6H95R2	D6H95R3	D8AR1	D8AR2	D8AR3	D8C50R1	D8C50R2	D8C50R3	D8C95R1	D8C95R2	D8C95R3	D8D100R1	D8D100R2	D8D100R3	D8H50R1	D8H50R2	D8H50R3	D8H95R1	D8H95R2	D8H95R3
fe1cd0b86abc9d1c30318f862f72eef0	5045.0	888.0	946.0	1785.0	7034.0	7547.0	5075.0	8053.0	7974.0	7687.0	5085.0	4447.0	4908.0	2099.0	1713.0	1751.0	1648.0	1713.0	1455.0	1046.0	1443.0	1661.0	8817.0	6460.0	9131.0	9197.0	5872.0	8789.0	7455.0	9584.0	8327.0	1923.0	1317.0	2156.0	1153.0	1143.0	1640.0	1362.0	1441.0	1596.0	7467.0	6219.0	5790.0	7341.0	7068.0	6004.0	6065.0	5303.0	5361.0	973.0	1380.0	1778.0	1458.0	1582.0	919.0	1137.0	1601.0	1270.0	5199.0	5253.0	5728.0	6787.0	7052.0	4495.0	4554.0	5360.0	5497.0	1391.0	1158.0	2028.0	1175.0	1658.0	1163.0	1133.0	884.0	649.0	6814.0	4830.0	4776.0	6467.0	7133.0	7144.0	5110.0	7244.0	5367.0	3091.0	2308.0	2112.0	2053.0	2112.0	1297.0
47fc681cb3efec4f7ea30eede73617a9	113.0	297.0	518.0	382.0	46.0	203.0	49.0	134.0	71.0	9.0	22.0	194.0	167.0	167.0	176.0	322.0	355.0	755.0	343.0	67.0	60.0	54.0	14.0	77.0	32.0	13.0	0.0	0.0	290.0	48.0	100.0	52.0	79.0	77.0	26.0	17.0	35.0	1920.0	1039.0	1250.0	85.0	291.0	67.0	0.0	0.0	0.0	447.0	126.0	254.0	309.0	999.0	2039.0	402.0	658.0	904.0	790.0	643.0	926.0	158.0	75.0	32.0	16.0	7.0	10.0	17.0	77.0	59.0	509.0	767.0	606.0	949.0	679.0	476.0	478.0	405.0	597.0	88.0	37.0	66.0	97.0	25.0	32.0	167.0	234.0	104.0	1340.0	914.0	1213.0	592.0	1479.0	336.0
eb0a55bbb85a6380982699e86e69c865	315.0	126.0	117.0	108.0	1336.0	2413.0	884.0	130.0	9.0	64.0	865.0	856.0	498.0	52.0	64.0	67.0	30.0	14.0	16.0	46.0	29.0	35.0	0.0	189.0	58.0	19.0	10.0	16.0	146.0	46.0	66.0	7.0	13.0	11.0	0.0	5.0	7.0	222.0	253.0	223.0	333.0	400.0	195.0	26.0	33.0	55.0	1054.0	686.0	706.0	34.0	85.0	147.0	3.0	15.0	69.0	123.0	158.0	209.0	427.0	351.0	468.0	50.0	21.0	23.0	484.0	1065.0	1288.0	77.0	87.0	79.0	20.0	61.0	17.0	167.0	172.0	168.0	717.0	1051.0	1347.0	284.0	14.0	50.0	941.0	760.0	1603.0	180.0	124.0	152.0	11.0	103.0	15.0
9f7c934ab018901c37d60376a619c3ea	82.0	39.0	29.0	57.0	151.0	200.0	117.0	0.0	62.0	0.0	342.0	280.0	160.0	0.0	67.0	31.0	34.0	24.0	27.0	48.0	19.0	50.0	28.0	128.0	132.0	24.0	0.0	10.0	106.0	130.0	70.0	7.0	29.0	31.0	0.0	13.0	34.0	25.0	117.0	127.0	292.0	385.0	351.0	0.0	0.0	80.0	994.0	371.0	374.0	29.0	126.0	99.0	54.0	101.0	74.0	56.0	47.0	60.0	474.0	315.0	369.0	0.0	66.0	32.0	137.0	454.0	370.0	81.0	92.0	74.0	53.0	56.0	31.0	47.0	53.0	34.0	189.0	209.0	167.0	0.0	104.0	89.0	320.0	418.0	174.0	98.0	51.0	69.0	39.0	98.0	36.0
61adcfd21607d79da41f429b6c551c59	57.0	0.0	0.0	0.0	220.0	452.0	142.0	137.0	159.0	167.0	349.0	946.0	489.0	27.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	0.0	43.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	152.0	146.0	82.0	0.0	28.0	0.0	293.0	197.0	168.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	279.0	453.0	237.0	31.0	0.0	32.0	134.0	352.0	256.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	232.0	343.0	159.0	19.0	82.0	62.0	239.0	386.0	243.0	44.0	33.0	0.0	0.0	0.0	0.0
318cb5de4e4c50aadcdd06e67e603b8d	495.0	64.0	93.0	124.0	31.0	45.0	54.0	10.0	0.0	0.0	120.0	337.0	229.0	57.0	52.0	49.0	35.0	37.0	32.0	7.0	4.0	23.0	17.0	97.0	85.0	104.0	23.0	54.0	35.0	155.0	54.0	16.0	24.0	18.0	9.0	15.0	11.0	29.0	63.0	63.0	149.0	332.0	274.0	5.0	18.0	6.0	190.0	265.0	348.0	31.0	67.0	47.0	20.0	25.0	33.0	53.0	119.0	42.0	250.0	278.0	292.0	7.0	7.0	0.0	123.0	286.0	327.0	25.0	33.0	66.0	45.0	39.0	14.0	88.0	51.0	22.0	92.0	117.0	94.0	0.0	0.0	0.0	202.0	171.0	126.0	69.0	66.0	62.0	12.0	43.0	26.0
4a71e760feed1a8c04215fbcd2759382	0.0	26.0	0.0	27.0	157.0	183.0	104.0	0.0	0.0	0.0	435.0	925.0	557.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	30.0	38.0	0.0	0.0	0.0	39.0	22.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	199.0	66.0	117.0	0.0	0.0	0.0	298.0	279.0	151.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	26.0	33.0	404.0	168.0	314.0	0.0	0.0	0.0	146.0	491.0	379.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	507.0	123.0	153.0	0.0	0.0	0.0	368.0	510.0	207.0	27.0	0.0	24.0	0.0	0.0	0.0
e1d3ac980aac245e3280a71c549fa862	1274.0	8.0	0.0	19.0	0.0	10.0	0.0	374.0	596.0	824.0	3.0	12.0	6.0	11.0	28.0	14.0	53.0	84.0	30.0	3.0	2.0	5.0	3.0	39.0	30.0	142.0	39.0	57.0	33.0	14.0	25.0	11.0	26.0	9.0	0.0	7.0	0.0	0.0	14.0	22.0	29.0	262.0	66.0	127.0	222.0	233.0	98.0	30.0	95.0	19.0	53.0	20.0	43.0	35.0	27.0	5.0	11.0	11.0	20.0	28.0	22.0	287.0	310.0	189.0	5.0	23.0	53.0	27.0	20.0	25.0	21.0	51.0	43.0	6.0	9.0	0.0	0.0	13.0	7.0	101.0	386.0	273.0	13.0	10.0	14.0	59.0	65.0	21.0	61.0	85.0	33.0
6dc1627cf0d727422960b17ed164c0f4	917.0	22.0	27.0	60.0	0.0	19.0	13.0	0.0	0.0	2.0	22.0	51.0	95.0	13.0	26.0	40.0	28.0	66.0	22.0	17.0	17.0	37.0	10.0	50.0	16.0	13.0	0.0	5.0	28.0	23.0	16.0	23.0	52.0	24.0	24.0	7.0	44.0	15.0	131.0	186.0	83.0	70.0	68.0	0.0	0.0	0.0	141.0	72.0	283.0	54.0	95.0	167.0	167.0	176.0	117.0	45.0	83.0	91.0	71.0	47.0	29.0	0.0	0.0	0.0	25.0	50.0	51.0	57.0	53.0	81.0	115.0	117.0	65.0	47.0	37.0	16.0	46.0	15.0	42.0	4.0	0.0	0.0	40.0	73.0	88.0	128.0	118.0	56.0	55.0	93.0	44.0
611c6741de08853c6e7922e8c82948fc	53.0	0.0	0.0	0.0	74.0	90.0	43.0	0.0	0.0	0.0	77.0	90.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	41.0	57.0	39.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	34.0	33.0	92.0	160.0	123.0	0.0	0.0	0.0	286.0	166.0	120.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	140.0	108.0	128.0	0.0	0.0	0.0	47.0	199.0	188.0	36.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	40.0	89.0	46.0	0.0	0.0	0.0	100.0	174.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0
