SampleID,Experiment,Treatment,Hratio,Day_charactor,Day,Replicates
D0,CE3,D0,0,D0,0,R1
D10AR1,CE3,A,100,D10,10,R1
D10AR2,CE3,A,100,D10,10,R2
D10AR3,CE3,A,100,D10,10,R3
D10C50R1,CE3,C,50,D10,10,R1
D10C50R2,CE3,C,50,D10,10,R2
D10C50R3,CE3,C,50,D10,10,R3
D10C95R1,CE3,C,95,D10,10,R1
D10C95R2,CE3,C,95,D10,10,R2
D10C95R3,CE3,C,95,D10,10,R3
D10D100R1,CE3,D,100,D10,10,R1
D10D100R2,CE3,D,100,D10,10,R2
D10D100R3,CE3,D,100,D10,10,R3
D10H50R1,CE3,H,50,D10,10,R1
D10H50R2,CE3,H,50,D10,10,R2
D10H50R3,CE3,H,50,D10,10,R3
D10H95R1,CE3,H,95,D10,10,R1
D10H95R2,CE3,H,95,D10,10,R2
D10H95R3,CE3,H,95,D10,10,R3
D2AR1,CE3,A,100,D2,2,R1
D2AR2,CE3,A,100,D2,2,R2
D2AR3,CE3,A,100,D2,2,R3
D2C50R1,CE3,C,50,D2,2,R1
D2C50R2,CE3,C,50,D2,2,R2
D2C50R3,CE3,C,50,D2,2,R3
D2C95R1,CE3,C,95,D2,2,R1
D2C95R2,CE3,C,95,D2,2,R2
D2C95R3,CE3,C,95,D2,2,R3
D2D100R1,CE3,D,100,D2,2,R1
D2D100R2,CE3,D,100,D2,2,R2
D2D100R3,CE3,D,100,D2,2,R3
D2H50R1,CE3,H,50,D2,2,R1
D2H50R2,CE3,H,50,D2,2,R2
D2H50R3,CE3,H,50,D2,2,R3
D2H95R1,CE3,H,95,D2,2,R1
D2H95R2,CE3,H,95,D2,2,R2
D2H95R3,CE3,H,95,D2,2,R3
D4AR1,CE3,A,100,D4,4,R1
D4AR2,CE3,A,100,D4,4,R2
D4AR3,CE3,A,100,D4,4,R3
D4C50R1,CE3,C,50,D4,4,R1
D4C50R2,CE3,C,50,D4,4,R2
D4C50R3,CE3,C,50,D4,4,R3
D4C95R1,CE3,C,95,D4,4,R1
D4C95R2,CE3,C,95,D4,4,R2
D4C95R3,CE3,C,95,D4,4,R3
D4D100R1,CE3,D,100,D4,4,R1
D4D100R2,CE3,D,100,D4,4,R2
D4D100R3,CE3,D,100,D4,4,R3
D4H50R1,CE3,H,50,D4,4,R1
D4H50R2,CE3,H,50,D4,4,R2
D4H50R3,CE3,H,50,D4,4,R3
D4H95R1,CE3,H,95,D4,4,R1
D4H95R2,CE3,H,95,D4,4,R2
D4H95R3,CE3,H,95,D4,4,R3
D6AR1,CE3,A,100,D6,6,R1
D6AR2,CE3,A,100,D6,6,R2
D6AR3,CE3,A,100,D6,6,R3
D6C50R1,CE3,C,50,D6,6,R1
D6C50R2,CE3,C,50,D6,6,R2
D6C50R3,CE3,C,50,D6,6,R3
D6C95R1,CE3,C,95,D6,6,R1
D6C95R2,CE3,C,95,D6,6,R2
D6C95R3,CE3,C,95,D6,6,R3
D6D100R1,CE3,D,100,D6,6,R1
D6D100R2,CE3,D,100,D6,6,R2
D6D100R3,CE3,D,100,D6,6,R3
D6H50R1,CE3,H,50,D6,6,R1
D6H50R2,CE3,H,50,D6,6,R2
D6H50R3,CE3,H,50,D6,6,R3
D6H95R1,CE3,H,95,D6,6,R1
D6H95R2,CE3,H,95,D6,6,R2
D6H95R3,CE3,H,95,D6,6,R3
D8AR1,CE3,A,100,D8,8,R1
D8AR2,CE3,A,100,D8,8,R2
D8AR3,CE3,A,100,D8,8,R3
D8C50R1,CE3,C,50,D8,8,R1
D8C50R2,CE3,C,50,D8,8,R2
D8C50R3,CE3,C,50,D8,8,R3
D8C95R1,CE3,C,95,D8,8,R1
D8C95R2,CE3,C,95,D8,8,R2
D8C95R3,CE3,C,95,D8,8,R3
D8D100R1,CE3,D,100,D8,8,R1
D8D100R2,CE3,D,100,D8,8,R2
D8D100R3,CE3,D,100,D8,8,R3
D8H50R1,CE3,H,50,D8,8,R1
D8H50R2,CE3,H,50,D8,8,R2
D8H50R3,CE3,H,50,D8,8,R3
D8H95R1,CE3,H,95,D8,8,R1
D8H95R2,CE3,H,95,D8,8,R2
D8H95R3,CE3,H,95,D8,8,R3
