# Constructed from biom file																																																																																																																																																																																											
OTUID	CE1H0D0	CE1H0D10R1	CE1H0D10R2	CE1H0D10R3	CE1H0D10R4	CE1H0D10R5	CE1H0D12R1	CE1H0D12R2	CE1H0D12R3	CE1H0D12R4	CE1H0D12R5	CE1H0D2R1	CE1H0D2R2	CE1H0D2R3	CE1H0D2R4	CE1H0D2R5	CE1H0D4R1	CE1H0D4R2	CE1H0D4R3	CE1H0D4R4	CE1H0D4R5	CE1H0D6R1	CE1H0D6R2	CE1H0D6R3	CE1H0D6R4	CE1H0D6R5	CE1H0D8R1	CE1H0D8R2	CE1H0D8R3	CE1H0D8R4	CE1H0D8R5	CE1H100D0	CE1H100D10R1	CE1H100D10R2	CE1H100D10R3	CE1H100D10R4	CE1H100D10R5	CE1H100D12R1	CE1H100D12R2	CE1H100D12R3	CE1H100D12R4	CE1H100D12R5	CE1H100D2R1	CE1H100D2R2	CE1H100D2R3	CE1H100D2R4	CE1H100D2R5	CE1H100D4R1	CE1H100D4R2	CE1H100D4R3	CE1H100D4R4	CE1H100D4R5	CE1H100D6R1	CE1H100D6R2	CE1H100D6R3	CE1H100D6R4	CE1H100D6R5	CE1H100D8R1	CE1H100D8R2	CE1H100D8R3	CE1H100D8R4	CE1H100D8R5	CE1H25D0	CE1H25D10R1	CE1H25D10R2	CE1H25D10R3	CE1H25D10R4	CE1H25D10R5	CE1H25D12R1	CE1H25D12R2	CE1H25D12R3	CE1H25D12R4	CE1H25D12R5	CE1H25D2R1	CE1H25D2R2	CE1H25D2R3	CE1H25D2R4	CE1H25D2R5	CE1H25D4R1	CE1H25D4R2	CE1H25D4R3	CE1H25D4R4	CE1H25D4R5	CE1H25D6R1	CE1H25D6R2	CE1H25D6R3	CE1H25D6R4	CE1H25D6R5	CE1H25D8R1	CE1H25D8R2	CE1H25D8R3	CE1H25D8R4	CE1H25D8R5	CE1H50D0	CE1H50D10R1	CE1H50D10R2	CE1H50D10R3	CE1H50D10R4	CE1H50D10R5	CE1H50D12R1	CE1H50D12R2	CE1H50D12R3	CE1H50D12R4	CE1H50D12R5	CE1H50D2R1	CE1H50D2R2	CE1H50D2R3	CE1H50D2R4	CE1H50D2R5	CE1H50D4R1	CE1H50D4R2	CE1H50D4R3	CE1H50D4R4	CE1H50D4R5	CE1H50D6R1	CE1H50D6R2	CE1H50D6R3	CE1H50D6R4	CE1H50D8R1	CE1H50D8R2	CE1H50D8R3	CE1H50D8R4	CE1H50D8R5	CE1H5D0	CE1H5D10R1	CE1H5D10R2	CE1H5D10R3	CE1H5D10R4	CE1H5D10R5	CE1H5D12R1	CE1H5D12R2	CE1H5D12R3	CE1H5D12R4	CE1H5D12R5	CE1H5D2R1	CE1H5D2R2	CE1H5D2R3	CE1H5D2R4	CE1H5D2R5	CE1H5D4R1	CE1H5D4R2	CE1H5D4R3	CE1H5D4R4	CE1H5D4R5	CE1H5D6R1	CE1H5D6R2	CE1H5D6R3	CE1H5D6R4	CE1H5D6R5	CE1H5D8R1	CE1H5D8R2	CE1H5D8R3	CE1H5D8R4	CE1H5D8R5	CE1H75D0	CE1H75D10R1	CE1H75D10R2	CE1H75D10R3	CE1H75D10R4	CE1H75D10R5	CE1H75D12R1	CE1H75D12R2	CE1H75D12R3	CE1H75D12R4	CE1H75D12R5	CE1H75D2R1	CE1H75D2R2	CE1H75D2R3	CE1H75D2R4	CE1H75D2R5	CE1H75D4R1	CE1H75D4R2	CE1H75D4R3	CE1H75D4R4	CE1H75D4R5	CE1H75D6R1	CE1H75D6R2	CE1H75D6R3	CE1H75D6R4	CE1H75D6R5	CE1H75D8R1	CE1H75D8R2	CE1H75D8R3	CE1H75D8R4	CE1H75D8R5	CE1XenicR1	CE1XenicR2
fe1cd0b86abc9d1c30318f862f72eef0	3124	2034	3292	1239	7782	6044	1727	2445	599	6442	4258	8551	12739	10048	9406	13641	4742	7516	3727	5453	6670	2303	2224	1486	3901	3731	2382	3413	1329	7181	6445	81	1536	2552	1770	2492	2422	1981	2099	1686	1998	2350	685	3217	1750	2781	2778	1451	1252	1661	2264	2081	2126	2496	1765	2167	2519	1455	1410	891	1336	1411	119	3565	2675	3796	3294	2460	2124	2995	2247	1598	1702	1249	1363	1624	1822	1837	1651	1892	1390	1732	1872	1108	1386	1782	1283	1623	1624	1593	1599	1327	1204	69	2600	1941	2875	2328	3259	3160	1608	3095	2393	2377	1605	2028	1524	5499	2644	1097	1600	1545	1871	1029	1762	1739	1776	1840	1330	1046	1289	1242	1210	200	4594	1954	2227	3006	1845	3213	3521	3117	2534	2730	4552	8	2034	3979	3522	2465	2595	2977	2262	1703	1508	2177	2161	860	2615	3008	1887	2628	547	1940	40	2212	1915	2086	2241	2871	2653	2633	1812	1933	2516	997	1301	1944	1545	1415	1659	1537	1655	1921	934	2153	1593	2370	1894	1823	1495	1504	1271	1179	1614	2859	3274
360f397d7e970f206e2565a67f9e3f76	27	2544	3654	3091	1566	4555	2422	3882	2420	3270	3964	60	145	186	50	111	3843	1889	2389	1074	2102	4406	3586	2964	1836	2718	1213	5273	2808	1286	4892	5	3150	4787	3309	3853	4063	3329	3911	2305	3335	5313	17	128	54	15	27	993	528	1008	1217	2469	3705	3203	2723	5166	2856	2355	2295	1192	1721	2876	4	4990	2969	4452	5608	3147	2587	3624	2697	2563	2514	12	14	16	29	8	623	709	312	356	413	1750	2813	2188	2004	3113	1841	1831	2149	1917	2125	0	3099	4785	3768	2773	4963	5254	2952	4929	4572	4181	7	26	30	163	51	507	1934	1407	962	615	3816	4328	2715	4667	2743	2006	3096	3724	2685	0	2108	831	922	1562	1261	1077	3423	2056	1976	2401	50	0	45	188	39	356	140	471	654	120	906	1369	995	712	1923	884	947	942	178	1070	0	3734	4795	4139	3531	3890	2905	5255	3735	3877	2628	14	10	29	33	16	2406	1548	843	1871	284	2606	4012	4988	3561	3245	3061	3008	2238	2166	2559	1387	1361
b4cda09d060fb91d6f8b18088def8814	0	3550	3886	5900	5136	5870	5093	3348	4445	4127	3701	198	13	327	177	29	3208	1308	2361	3394	916	5243	2277	3636	3565	1375	3267	1057	2127	4518	4113	4	22	32	30	23	17	7	6	6	8	29	0	6	0	5	0	10	0	13	9	3	5	32	13	22	10	4	10	6	7	4	0	1657	942	2670	0	445	2415	1730	2905	0	887	6	24	18	3	0	404	367	193	0	52	956	976	1545	0	1203	931	498	396	0	161	0	336	0	342	481	698	319	0	654	969	1248	0	0	0	42	0	10	0	214	57	50	264	0	647	830	75	0	320	374	158	0	4412	2469	2279	3314	1418	2523	3307	3233	3389	2494	147	0	14	49	16	398	565	800	633	189	1302	1437	821	1121	713	1523	1531	1473	331	477	0	1136	261	381	748	776	604	456	611	456	698	0	0	6	6	4	84	29	41	113	23	116	95	216	478	187	135	44	114	156	118	76	95
efd122cd4103becf1a810424aac8ebdc	28	116	475	320	385	623	350	649	254	624	631	34	9	43	21	36	750	1280	355	570	1396	857	563	697	579	319	367	900	380	843	979	0	921	2264	1254	1985	1969	832	763	1229	749	1724	0	18	22	20	8	695	579	523	1104	2075	1531	2453	1586	1457	3391	1045	700	780	400	1281	4	609	892	1173	1383	1036	590	785	1151	842	589	0	0	12	20	7	778	1012	775	468	830	1350	1185	2777	777	1271	975	538	678	560	802	0	1099	991	1642	1212	1251	1345	756	1617	1250	1172	7	0	8	43	19	118	579	1542	154	507	1641	1991	2533	2086	819	577	944	998	857	2	547	264	235	488	412	423	710	449	498	792	22	0	7	62	0	1069	642	185	1057	385	559	794	208	746	968	660	567	187	100	568	0	1778	1052	1619	1215	1568	934	1343	884	955	2665	0	5	7	21	38	1585	786	658	1712	320	2224	2508	2005	3008	1712	1030	818	718	716	866	1704	2076
c2cf886db5c0fa5cbf00428e09abcfa5	130	2083	1428	3274	3219	2175	2487	1209	2184	1924	989	1830	1382	1587	1472	622	3640	2293	4327	2108	1533	3974	1699	4663	5352	1584	3108	2084	4079	4749	1482	0	27	38	20	11	25	12	0	0	0	15	10	186	55	44	53	36	37	33	79	74	69	129	31	68	100	56	39	11	19	17	0	525	529	836	772	279	451	562	536	406	271	242	233	214	214	125	865	1214	612	1535	875	931	1562	1662	1222	634	518	461	450	481	311	0	353	298	409	208	250	411	203	399	158	231	75	133	90	1415	311	273	756	500	254	186	941	985	915	704	301	205	300	182	182	8	1696	760	1501	1937	1482	450	1703	1641	1081	855	1857	0	707	2406	2147	698	1416	1693	2122	1013	1201	1975	1898	1471	2224	1016	1946	2154	321	1307	0	391	151	246	189	238	212	167	78	97	82	63	28	57	114	94	584	348	416	391	104	530	451	687	484	391	226	161	134	110	107	78	65
ddec5caa368362d3dd22332a8369068e	227	336	266	467	493	221	364	213	245	227	214	3485	1742	2807	2568	1583	2632	1904	1679	2144	1600	1011	590	767	1445	1249	456	1618	748	1039	733	0	295	516	236	359	276	364	196	203	254	419	11	338	72	80	100	105	113	115	210	208	402	395	224	408	448	179	172	107	119	175	0	256	209	476	392	302	104	112	140	144	162	128	109	180	106	109	712	579	419	813	576	303	479	710	439	367	247	242	182	201	240	0	301	334	473	493	393	368	201	273	227	268	95	214	94	2234	470	420	839	393	515	289	782	969	488	1201	283	197	226	387	296	0	662	143	206	415	356	156	265	219	135	145	849	0	291	875	556	629	424	1019	688	399	410	516	521	270	949	409	286	274	84	396	0	332	286	290	394	655	207	210	152	212	442	42	127	140	126	188	543	535	441	547	246	399	499	618	658	802	201	295	238	256	217	29	29
2dd2f5c190cc496511cac893bfb368ce	1032	1252	988	5712	294	274	2960	2133	5682	303	352	1281	759	1866	739	901	3682	2784	3984	1243	2181	4443	1545	3401	1568	1244	4037	1436	5075	1691	1396	0	60	26	56	0	42	41	0	42	0	35	105	186	286	162	123	146	55	200	132	116	191	83	105	69	102	73	0	32	0	41	0	248	231	498	416	401	194	233	304	270	271	166	192	217	317	239	402	554	439	501	535	287	381	409	284	413	329	250	253	315	364	0	72	186	191	69	154	99	135	227	84	312	149	262	151	855	344	192	380	278	282	137	201	387	219	319	48	129	116	105	86	73	516	256	70	1017	365	398	522	252	1558	1228	557	0	183	747	361	846	939	257	1099	606	473	683	135	513	1077	371	462	143	293	489	0	95	39	67	94	142	92	75	26	72	60	176	169	219	229	240	249	248	207	377	181	192	179	160	383	263	126	55	56	94	112	708	877
f7b91641be59db915aa5d90586a15286	29	458	1981	787	556	1294	766	1638	590	580	1140	35	51	199	66	177	1393	1793	1098	1127	1886	977	1478	851	762	728	732	3275	1350	1821	2573	0	16	42	15	0	11	4	18	8	0	6	6	36	10	8	0	62	49	19	55	87	50	112	20	46	93	17	26	0	8	27	6	974	795	1204	1492	1001	478	1265	570	1156	938	7	14	14	63	0	507	904	129	288	480	404	664	487	611	1618	339	600	399	512	833	0	759	505	655	363	416	1097	429	710	469	338	0	0	18	159	32	150	349	309	106	163	560	531	298	399	307	155	320	332	184	0	828	306	373	359	289	326	581	598	255	379	69	0	49	259	60	613	345	387	420	161	439	499	473	338	494	339	191	314	54	258	0	530	165	156	253	178	372	122	179	219	147	0	7	10	13	7	359	96	178	276	34	457	192	263	272	76	271	108	129	117	73	164	131
eb0a55bbb85a6380982699e86e69c865	8	1098	1502	1546	1362	1797	804	216	669	578	504	506	1615	956	459	1142	3546	1565	1472	1195	2835	1234	605	857	351	947	2430	716	2369	1378	1634	0	305	789	369	276	322	412	469	215	288	417	8	154	14	22	31	70	65	53	78	176	228	155	75	158	144	251	180	111	158	192	0	503	298	545	277	312	456	483	328	280	503	77	91	38	176	166	361	276	134	153	436	167	223	166	208	518	253	117	223	164	113	0	332	281	347	346	242	481	270	502	303	265	87	126	91	154	131	197	353	312	159	144	485	222	296	484	174	137	186	348	147	0	394	105	118	190	237	194	267	183	290	279	235	0	88	463	298	170	201	227	362	95	109	95	189	87	142	337	204	142	53	118	0	499	450	588	551	340	687	385	482	428	292	71	35	73	54	40	465	261	160	216	43	246	431	728	358	243	360	305	215	377	240	765	879
80ea2d6378623649a1d55ce0ce9887c1	40	169	284	305	255	651	305	292	288	175	391	3528	4586	3192	2193	4489	369	820	229	204	673	432	1363	376	909	2558	348	1124	384	520	943	0	137	218	167	176	153	78	36	92	145	84	0	34	32	27	21	75	42	149	117	117	196	207	231	206	174	111	105	54	94	165	0	221	213	506	419	424	49	142	141	110	274	91	73	122	88	81	394	335	271	417	831	176	291	316	358	489	143	221	202	234	233	0	339	333	450	518	428	248	194	306	206	115	63	111	72	295	158	444	647	357	890	243	342	798	518	1096	234	123	220	350	150	0	310	48	109	183	116	81	203	120	63	148	287	0	102	402	209	225	82	147	97	65	370	206	186	93	498	153	144	105	40	77	0	337	303	243	332	387	278	195	169	178	238	29	22	51	89	74	379	389	448	552	162	278	346	462	511	346	165	219	248	147	166	179	188
e8c034452f8a464eef1d49136188fc0e	0	187	296	267	188	167	277	188	375	418	198	133	146	84	54	198	258	220	105	136	174	195	189	155	71	168	294	154	221	203	226	0	170	455	204	373	225	180	99	154	216	328	21	714	109	183	104	282	209	548	674	541	619	544	459	556	585	191	163	152	166	275	0	191	224	322	443	359	290	225	286	273	166	39	17	113	273	79	230	131	272	252	369	431	157	532	285	407	403	116	206	248	182	0	203	213	445	286	300	404	140	408	229	158	77	139	63	2199	155	71	352	235	236	157	435	378	478	472	157	112	235	200	178	3	48	29	95	195	87	75	144	140	113	97	14	0	15	43	34	18	11	48	29	12	11	57	53	23	49	21	16	68	7	56	0	372	193	325	385	398	224	197	181	416	351	43	90	199	129	387	481	405	382	371	327	416	701	578	940	824	184	180	214	234	217	11	18
3ea7ca1f1d2c4a5c1984f68fa17fbf4a	19	50	113	73	35	116	90	89	53	41	65	82	70	112	83	230	29	88	17	34	108	146	97	132	99	179	68	232	241	126	321	0	245	463	339	235	141	130	163	149	103	71	29	48	127	13	52	131	55	210	268	98	166	249	307	199	154	231	273	187	179	133	0	522	418	642	439	252	293	483	135	355	291	80	71	69	52	60	162	112	49	111	212	105	154	141	121	164	179	267	135	162	256	0	287	443	467	400	362	262	255	490	188	242	21	51	88	282	138	96	158	131	182	104	170	266	149	242	211	175	267	266	210	0	531	128	109	168	69	198	313	106	113	84	107	0	55	212	71	129	65	135	131	68	95	100	151	61	96	205	144	187	33	92	0	463	363	358	261	545	213	162	214	234	323	53	12	50	57	69	154	145	109	120	55	188	265	291	244	183	275	245	199	167	208	89	93
47fc681cb3efec4f7ea30eede73617a9	0	32	70	46	0	196	160	91	197	0	55	32	58	0	0	0	61	49	0	0	18	79	64	0	0	141	19	48	0	0	212	0	117	582	507	262	0	321	545	638	337	0	0	75	0	0	0	6	10	0	14	0	32	107	20	25	0	59	93	104	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1208	1411	0	630	1094	1554	1058	0	595	326	0	2	0	12	16	16	77	0	19	39	182	377	0	285	145	258	0	159	180	0	0	23	0	0	52	0	153	0	0	268	0	0	0	0	0	0	0	0	0	7	0	8	0	0	9	0	19	0	0	40	0	1305	1343	386	0	0	1003	1054	685	0	0	0	0	0	2	0	0	59	0	0	0	24	559	61	0	0	94	342	49	0	0	27	53
4a71e760feed1a8c04215fbcd2759382	10	32	89	43	53	33	55	86	34	85	61	53	94	65	66	64	55	127	9	60	126	50	81	32	48	65	18	165	50	68	138	0	0	31	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	14	0	0	14	0	19	0	0	15	0	0	0	0	28	17	60	49	31	18	18	19	55	60	0	0	0	0	0	0	0	0	10	0	0	0	0	0	43	25	18	24	23	10	0	27	28	54	44	41	18	20	34	36	33	0	0	0	0	0	12	27	0	32	8	26	40	17	68	25	15	22	42	22	0	22	0	0	0	0	10	0	20	0	0	0	0	0	0	0	0	0	0	0	0	15	0	13	0	0	0	0	12	0	9	0	17	42	26	35	56	0	26	15	29	30	0	0	0	0	0	13	43	41	45	16	19	55	75	60	37	13	23	0	20	23	232	244
f8311c55ceb334b421493eaeb5f22b1a	0	0	113	137	117	248	48	94	84	54	143	425	635	483	303	785	51	172	67	64	162	117	383	129	355	701	87	410	175	255	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	70	122	123	80	26	40	44	38	79	0	0	0	0	0	71	69	0	48	146	44	72	74	60	90	51	65	31	66	31	0	71	65	121	74	74	56	60	74	41	56	0	0	0	42	0	67	73	0	75	0	88	122	88	138	49	0	41	53	31	0	126	0	40	51	46	36	64	53	0	41	0	0	0	64	0	0	0	0	0	0	74	56	68	0	103	49	41	60	0	36	0	75	49	34	51	96	57	46	0	36	38	0	0	0	0	0	78	38	43	49	0	50	60	73	89	81	29	0	28	0	0	40	30
d708ab1f7b446fe572eeafb4ed6566ef	0	0	1625	61	621	1696	0	296	37	332	620	0	11	0	8	40	0	260	29	157	862	0	1452	3	63	129	0	451	18	474	1098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	15	0	11	0	63	0	181	14	0	38	0	429	0	0	0	0	0	0	0	5	0	155	0	0	24	0	653	0	0	17	0	53	0	0	0	162	0	0	0	0	352	0	0	0	0	3	0	0	0	0	60	0	5	0	0	73	0	0	0	31	0	0	0	0	136	0	0	62	0	121	0	0	130	0	2	0	0	0	0	0	0	0	4	0	63	0	0	17	0	68	0	0	38	0	29	0	0	0	13	27	0	12	0	14	0	0	0	0	0	0	0	12	0	0	4	0	24	0	0	4	0	10	0	0	0	0
c0cc5cd70cef3b3af0735baa237b729d	0	304	381	228	86	399	480	252	98	31	313	7	13	3	8	30	223	246	101	201	574	174	134	150	188	162	184	120	226	139	152	0	35	30	31	42	54	51	57	37	107	86	0	13	0	0	0	14	2	9	28	24	27	37	21	65	84	16	15	14	12	13	0	68	59	91	198	51	39	30	67	46	52	0	0	0	6	0	20	23	10	76	23	56	22	35	42	21	73	31	55	42	14	0	90	68	205	27	77	198	66	131	51	56	0	0	0	0	0	14	28	37	13	8	84	102	124	89	26	36	54	8	5	0	231	14	82	130	95	50	20	192	44	66	0	0	3	11	0	18	10	37	14	7	59	37	67	26	29	105	11	72	12	22	0	42	24	36	87	89	87	11	40	69	51	0	0	5	0	0	6	15	44	37	18	24	20	51	118	62	27	7	20	44	35	21	20
9f7c934ab018901c37d60376a619c3ea	0	0	0	0	0	0	0	0	0	0	0	0	81	0	33	57	22	0	0	0	0	15	0	0	0	22	0	21	0	0	38	0	72	138	150	93	176	139	91	113	164	225	0	0	0	0	0	15	0	27	24	37	59	128	67	68	93	61	100	43	70	108	0	0	6	20	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	22	0	0	0	0	0	0	0	0	0	15	44	13	0	0	0	26	0	0	0	0	14	12	0	27	0	12	0	20	24	0	53	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	32	30	0	0	0	26	0	0	34	0	0	0	0	0	24	34	24	25	16	0	28	44	40	26	0	24	0	0	0	298	214
e1d3ac980aac245e3280a71c549fa862	35	7	87	28	37	47	9	29	17	32	34	6	0	4	9	13	55	142	103	90	160	42	45	65	108	104	41	143	72	205	169	0	16	64	20	23	40	32	15	16	0	58	0	11	6	0	7	32	11	6	20	48	35	39	38	25	100	32	17	31	15	35	0	71	39	81	157	104	53	43	56	120	94	0	0	7	4	0	19	18	14	25	27	63	44	93	41	65	65	26	36	44	49	0	48	46	129	41	57	68	24	175	38	37	0	0	3	0	0	17	26	48	15	17	79	84	79	77	32	20	30	34	32	0	75	35	26	54	36	52	91	35	32	38	2	0	0	17	0	45	20	20	37	16	66	31	25	23	38	70	28	15	12	24	0	137	67	72	139	170	76	87	42	62	201	0	0	0	0	0	57	30	31	48	18	65	100	57	74	51	58	39	19	45	40	39	66
643b971bcf5c440babe7d74c3cd785a1	0	33	103	128	119	186	80	83	87	110	115	118	41	64	66	112	56	114	38	86	101	91	59	87	144	130	94	151	106	213	99	0	7	0	6	3	0	3	0	0	0	6	0	43	22	17	19	7	2	13	3	6	8	15	6	9	23	8	7	0	0	0	0	23	52	38	50	49	67	29	49	18	30	6	0	18	18	23	14	0	18	28	19	36	30	55	14	36	35	18	23	31	17	0	28	14	37	31	32	51	21	42	26	23	0	13	8	22	32	14	16	11	21	5	22	37	32	25	17	7	10	18	12	0	54	17	33	42	23	56	57	68	29	40	45	0	26	52	38	33	23	17	10	6	33	31	29	16	30	21	12	17	0	23	0	21	22	14	18	33	21	26	15	0	39	6	19	27	4	23	20	0	10	13	4	20	27	29	25	22	0	10	13	16	8	304	407
c7fb3bec6f60542d0daddc0016cfbf7f	58	0	148	132	71	115	111	123	81	49	86	0	0	0	0	0	86	0	0	0	66	328	145	100	62	86	181	135	156	109	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	47	108	55	52	42	75	52	37	49	0	0	0	0	0	0	0	0	0	0	0	62	57	44	44	51	59	48	54	54	0	34	0	40	0	0	67	0	50	47	67	0	0	0	0	0	0	0	0	0	0	42	0	0	36	25	0	0	0	0	0	153	28	46	78	57	51	69	117	0	86	0	0	0	0	0	0	0	0	0	0	119	88	114	63	120	93	65	88	0	81	0	0	0	0	19	0	0	19	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425	445
423039706bdf6fd3cfb5555d55b247cc	0	10	127	0	0	5	3	38	0	0	0	0	0	0	0	0	0	10	0	0	0	4	26	0	0	5	0	50	0	0	0	0	0	31	85	15	0	0	95	66	17	0	0	4	0	0	0	0	0	3	0	0	0	5	19	0	0	0	5	7	6	0	0	336	151	108	120	21	142	147	69	42	42	0	0	0	0	0	12	22	0	0	5	128	41	19	11	8	141	53	45	11	15	0	0	0	0	0	8	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	5	10	0	13	13	7	22	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	4	0	0	0	0	18	0	0	9	0	29	0	0	3	0	0	0	0	0	0	4	0	0	0	0	10	0	0	3	0	7	0	0	0	776	828
c2ff5ea5c75d9382923dac0103831368	3230	18	32	0	60	30	0	0	0	0	0	15	0	40	26	41	23	14	0	17	0	0	0	7	0	24	0	0	0	33	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aeee1b8c5d861d1f0b3724140e4a7435	38	0	0	0	3	0	0	0	0	0	0	0	0	27	13	12	0	0	5	4	0	0	0	0	0	23	5	23	13	4	12	2	2	0	0	3	0	39	36	28	35	55	12	250	31	142	54	0	0	0	0	0	63	145	0	98	0	0	0	2	0	0	0	182	272	281	336	0	11	41	20	11	17	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	6	0	0	47	46	0	51	56	0	0	67	50	81	0	0	0	0	0	107	53	2	0	69	132	74	86	79	17	4	0	0	0	0	12	35	10	15	12	0	0	0	4	0	0	0	0	0	0	0	0	0	27	50	0	0	0	0	0	8	0	0	3	0	6	121	62	50	45	30	35	42	37	67	52	40	37	35	33	24	95	24	63	200	93	92	31	62	26	48	0	0
eab83c58d6e2045e7a9d47e3c4e9b9d9	0	44	108	67	66	92	46	42	69	97	45	0	0	17	0	15	106	81	25	39	31	100	100	32	31	28	43	36	35	79	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	5	0	0	0	0	0	0	59	46	54	760	62	43	68	23	625	54	0	3	0	9	0	14	7	9	18	10	16	10	8	59	58	25	21	8	147	20	0	0	0	33	0	0	0	0	25	0	0	0	0	2	0	0	0	0	7	0	0	0	16	8	0	0	0	3	0	0	0	150	12	34	33	16	56	35	51	26	27	0	0	0	10	0	14	0	0	9	0	15	10	8	4	22	30	9	13	2	28	0	51	14	8	34	12	33	0	0	7	6	0	0	0	0	2	21	15	4	17	2	9	24	0	26	7	25	12	0	15	6	131	150
265f935ef742133fff52f8052dfc180f	0	0	0	0	0	12	0	0	0	0	0	128	120	69	78	91	21	13	0	23	42	22	0	0	11	12	0	18	13	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	25	12	14	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
