SampleID,Spike-in-Label,Spike-in-Con. ,Spike-in-added,Experiment,Hratio,Day_charactor,Day,Replicates
CE1H0D0,A,0.001,0.5,CE1,H0,D0,0,R1
CE1H100D0,B,0.001,1,CE1,H100,D0,0,R1
CE1H25D0,A,0.001,0.5,CE1,H25,D0,0,R1
CE1H50D0,B,0.001,1,CE1,H50,D0,0,R1
CE1H5D0,A,0.001,0.5,CE1,H5,D0,0,R1
CE1H75D0,B,0.001,1,CE1,H75,D0,0,R1
CE1XenicR1,A,0.001,0.5,CE1,Xenic,D0,0,R1
CE1XenicR2,A,0.001,0.5,CE1,Xenic,D0,0,R2
CE2FM,A,0.001,0.5,CE2,FilterMicrobiome,D0,0,R1
CE2H0D0,A,0.001,0.5,CE2,H0,D0,0,R1
CE2H100D0,A,0.001,0.5,CE2,H100,D0,0,R1
CE2Xenic,A,0.001,0.5,CE2,Xenic,D0,0,R1
CE1H25D10R1,MaybeD,0.01,1,CE1,H25,D10,10,R1
CE1H25D10R2,MaybeD,0.01,1,CE1,H25,D10,10,R2
CE1H25D10R3,MaybeD,0.01,1,CE1,H25,D10,10,R3
CE1H25D10R4,MaybeD,0.01,1,CE1,H25,D10,10,R4
CE2H100D10R3,C,0.01,0.5,CE2,H100,D10,10,R3
CE1H0D10R1,A,0.001,0.5,CE1,H0,D10,10,R1
CE1H0D10R2,A,0.001,0.5,CE1,H0,D10,10,R2
CE1H0D10R3,A,0.001,0.5,CE1,H0,D10,10,R3
CE1H0D10R4,A,0.001,0.5,CE1,H0,D10,10,R4
CE1H0D10R5,A,0.001,0.5,CE1,H0,D10,10,R5
CE1H100D10R1,B,0.001,1,CE1,H100,D10,10,R1
CE1H100D10R2,B,0.001,1,CE1,H100,D10,10,R2
CE1H100D10R3,B,0.001,1,CE1,H100,D10,10,R3
CE1H100D10R4,B,0.001,1,CE1,H100,D10,10,R4
CE1H100D10R5,B,0.001,1,CE1,H100,D10,10,R5
CE1H25D10R5,A,0.001,0.5,CE1,H25,D10,10,R5
CE1H50D10R1,B,0.001,1,CE1,H50,D10,10,R1
CE1H50D10R2,B,0.001,1,CE1,H50,D10,10,R2
CE1H50D10R3,B,0.001,1,CE1,H50,D10,10,R3
CE1H50D10R4,B,0.001,1,CE1,H50,D10,10,R4
CE1H50D10R5,B,0.001,1,CE1,H50,D10,10,R5
CE1H5D10R1,A,0.001,0.5,CE1,H5,D10,10,R1
CE1H5D10R2,A,0.001,0.5,CE1,H5,D10,10,R2
CE1H5D10R3,A,0.001,0.5,CE1,H5,D10,10,R3
CE1H5D10R4,A,0.001,0.5,CE1,H5,D10,10,R4
CE1H5D10R5,A,0.001,0.5,CE1,H5,D10,10,R5
CE1H75D10R1,B,0.001,1,CE1,H75,D10,10,R1
CE1H75D10R2,B,0.001,1,CE1,H75,D10,10,R2
CE1H75D10R3,B,0.001,1,CE1,H75,D10,10,R3
CE1H75D10R4,B,0.001,1,CE1,H75,D10,10,R4
CE1H75D10R5,B,0.001,1,CE1,H75,D10,10,R5
CE2H0D10R1,A,0.001,0.5,CE2,H0,D10,10,R1
CE2H0D10R2,A,0.001,0.5,CE2,H0,D10,10,R2
CE2H0D10R3,A,0.001,0.5,CE2,H0,D10,10,R3
CE2H0D10R4,A,0.001,0.5,CE2,H0,D10,10,R4
CE2H0D10R5,A,0.001,0.5,CE2,H0,D10,10,R5
CE2H100D10R1,A,0.001,0.5,CE2,H100,D10,10,R1
CE2H100D10R2,A,0.001,0.5,CE2,H100,D10,10,R2
CE2H100D10R4,A,0.001,0.5,CE2,H100,D10,10,R4
CE2H100D10R5,A,0.001,0.5,CE2,H100,D10,10,R5
CE1H100D12R1,D,0.01,1,CE1,H100,D12,12,R1
CE1H100D12R2,D,0.01,1,CE1,H100,D12,12,R2
CE1H100D12R3,D,0.01,1,CE1,H100,D12,12,R3
CE1H100D12R4,D,0.01,1,CE1,H100,D12,12,R4
CE1H100D12R5,D,0.01,1,CE1,H100,D12,12,R5
CE1H25D12R1,D,0.01,1,CE1,H25,D12,12,R1
CE1H25D12R2,D,0.01,1,CE1,H25,D12,12,R2
CE1H25D12R3,D,0.01,1,CE1,H25,D12,12,R3
CE1H25D12R4,D,0.01,1,CE1,H25,D12,12,R4
CE1H25D12R5,D,0.01,1,CE1,H25,D12,12,R5
CE1H50D12R1,C,0.01,0.5,CE1,H50,D12,12,R1
CE1H50D12R2,D,0.01,1,CE1,H50,D12,12,R2
CE1H50D12R4,D,0.01,1,CE1,H50,D12,12,R4
CE1H50D12R5,D,0.01,1,CE1,H50,D12,12,R5
CE1H5D12R1,D,0.01,1,CE1,H5,D12,12,R1
CE1H5D12R2,D,0.01,1,CE1,H5,D12,12,R2
CE1H5D12R3,D,0.01,1,CE1,H5,D12,12,R3
CE1H5D12R4,D,0.01,1,CE1,H5,D12,12,R4
CE1H5D12R5,D,0.01,1,CE1,H5,D12,12,R5
CE1H75D12R1,D,0.01,1,CE1,H75,D12,12,R1
CE1H75D12R2,D,0.01,1,CE1,H75,D12,12,R2
CE1H75D12R3,D,0.01,1,CE1,H75,D12,12,R3
CE1H75D12R4,D,0.01,1,CE1,H75,D12,12,R4
CE1H75D12R5,D,0.01,1,CE1,H75,D12,12,R5
CE2H100D12R3,C,0.01,0.5,CE2,H100,D12,12,R3
CE2H100D12R4,C,0.01,0.5,CE2,H100,D12,12,R4
CE1H0D12R1,B,0.001,1,CE1,H0,D12,12,R1
CE1H0D12R2,B,0.001,1,CE1,H0,D12,12,R2
CE1H0D12R3,B,0.001,1,CE1,H0,D12,12,R3
CE1H0D12R4,B,0.001,1,CE1,H0,D12,12,R4
CE1H0D12R5,B,0.001,1,CE1,H0,D12,12,R5
CE1H50D12R3,B,0.001,1,CE1,H50,D12,12,R3
CE2H0D12R1,A,0.001,0.5,CE2,H0,D12,12,R1
CE2H0D12R2,A,0.001,0.5,CE2,H0,D12,12,R2
CE2H0D12R3,A,0.001,0.5,CE2,H0,D12,12,R3
CE2H0D12R4,A,0.001,0.5,CE2,H0,D12,12,R4
CE2H0D12R5,A,0.001,0.5,CE2,H0,D12,12,R5
CE2H100D12R1,B,0.001,1,CE2,H100,D12,12,R1
CE2H100D12R2,A,0.001,0.5,CE2,H100,D12,12,R2
CE2H100D12R5,A,0.001,0.5,CE2,H100,D12,12,R5
CE1H100D2R1,C,0.01,0.5,CE1,H100,D2,2,R1
CE1H100D2R2,C,0.01,0.5,CE1,H100,D2,2,R2
CE1H100D2R3,C,0.01,0.5,CE1,H100,D2,2,R3
CE1H100D2R4,C,0.01,0.5,CE1,H100,D2,2,R4
CE1H100D2R5,C,0.01,0.5,CE1,H100,D2,2,R5
CE1H50D2R3,D,0.01,1,CE1,H50,D2,2,R3
